source,target
Kaedah koni kacipa'.,這個生薑很辣。
Cai pakatoor kita to lalok nira mato'asay.,我們跟不上老人家的勤勞。
Cilica'es ko fokes nina wawa.,這孩子的頭髮有蝨卵。
O maka'amisay ko pala niyam.,我們的田地是最北那一塊。
Pakatolakoen a micolo' to tefos.,用卡車載運甘蔗。
Misaikaikang i ka'ayaw ako ciira.,她在我面前炫耀。
Mifahoy to 'ayam ci mama i omah.,爸爸在田裏驅趕小鳥。
Liteng sato kiso?,你怎麼那麼老了？
Mifolaw ko kapah no niyaro' to 'ada.,部落
Madimokos no Kawas ko hekal tahatolas.,上帝攝理世界直到永遠。
Pakamaro'en kira sinsi no miso.,請讓你的老師坐下。
O tadakamoko'ay kira keliw no miso.,你的線太短了。
"Fetasen no ising koya malifawaay a doka' ako, saka kaliki a ma'adah.",醫生將我那腫起的膿瘡擠破，所以才很快好起來。
Rahid saan to ko panay tinana mihecaan.,今年稻米比預期的還要多。
Cima ko malacongtongay saw?,誰當上總統呢？
Tanolalangaw saan ko salawacan no lakelal.,河邊很多蒼蠅。
Cay kaeca o nanaw ko 'ayaway no kaen.,吃東西前一定是先洗手。
Pacoli ci inaan ciira.,他對媽媽頂嘴。
Cicih han noya wawa ko codad nira.,那個孩子撕裂了他的書本。
Cima ko mipaor^oray?,誰是唆使者？
Mafariw to nira ko semot no 'alaneng.,他將田埂的草砍完了。
O pawti ita a mipanay kinian.,這是我們割稻用的麻袋。
Ci kaka ako ko mirahekaday to sakalahok ita.,我的姐姐來蒸煮我們的午餐。
O pipaco'ongan no hana kiraan.,那是花要長新芽的地方。
Micoraf ko ringo no fiyaw niyam a tayni i tamiyanan.,我們鄰居的爐火延燒到我們這裡。
Kacipitaw a mitali!,要帶鋤頭挖芋頭！
O tomok no niyaro' ko misa'opoay i tamiyanan.,是頭目把我們集合起來。
Cima kora cafay iso?,你那伙伴是誰？
Adihay ko kadangaway i tini.,這裏有好多蚊子。
Adihay ko losay nonini a lotok.,這座山有很多果樹。
O mipalamalay ci fayi ako i matini to singasif.,我的姨媽為了燒開水而起火。
O sapakadoh ita kira titi to waco no palapalaan.,那塊肉是我們用來吸引野狗的餌。
Papicakcaken to tawho ko kaka iso!,請你姐姐把豆腐切成大塊的。
Matoka to kako to kararaayan no katayalan no mita.,我已厭倦於我們工作地點的距離。
I tokayen a patireng to kosi.,公司在都巿裡。
"Pa'angsawen no mita ko talo'an a mihodhod, ta matalaw ko fao.",我們來悶燒烤工寮讓蟲怕煙燒味。
Lakowit han no mita i 'ayaw no kalahokan kira lotok.,我們就在中午前越過那座山。
Karakakicoh koni kida.,這棵釋迦的果子真多。
Kaepod to kiso.,你請下來。
O maresapay to ko sowal no mako i kiokay a nini.,今天在教會我話已撒播開來。
Ridrid han no kaka ako kako a micodad.,我的姐姐引導我讀書。
Matofa'inayan ko tayal nora fafahyian micawor to fonak.,那個女人的工作很像男人在攪拌砂土。
O sakacikadangaway ko so'oso'ol.,雨水灘使蚊子滋生。
O piliyas namo ko ka'iwilan no faloco' ako.,他們的離開讓我感到寂寞。
"Aanayaen ho ko rarakaten no mita, ta tangasa i loma'.",我們還有一段路程才能到家。
O misa'eletay ci mama no mako kawos no tafokod i matini.,我爸爸正在打結抛網的繩索。
Caay piati caira i tamiyanan a papitahka.,他們沒有邀請我們上桌。
Malalok a patado ci Kacaw a miceris to lipot ni faki nira.,Kacaw殷勤地為他的舅舅點火煙卷。
Pangasawen no kawas ko finacadan no mita o Pangcah.,上帝使我們原住民有氏族。
Minanam ko Pangcah a misasinar.,原住民學種西瓜。
Tosaay ko linay ako.,我有兩把傘。
Cecay a melet ko keter nira.,她生氣只有一下子而已。
Mangernger no atolay ko loma'.,房屋被地震震動。
Ma'imeray kami to demak niyam i picodadan.,我們在學校的行為都很謹慎。
Mikayakay a mi'afinong kira lotong.,那隻猴子爬椰樹採椰子。
Tekep han no niyam kira 'oner a milepel.,我們用捕捉器來抓蛇。
O fadil koni a mataringay a kasoy.,這些堆起來的木材是流木。
Adada ko fitoka ni ina ako.,我媽媽有胃病。
Mapacek no pacek ko kamay no mako.,我的手被釘子釘到。
"O mi'oliday kako i matini, saka salipahak saan kako to romi'ami'ad.",我正在戀愛，所以每天都很快樂。
O ma'otoyay a fafahiyan ciira.,她是風騷的女人。
Pacilahen ko pikeling to kodasing.,炒花生要加鹽巴。
O cipisingay ko kakitaan.,頭目很有尊嚴。
O ciyolokiyokay caira.,他們是長老會信徒。
O nipetekan no mako kira kilang.,那個木頭是我折斷的。
Kacisioy a talapala maomah saan ci mama.,爸爸說去田裡工作要帶飯鍋。
Masiday no mako ko sapikalic to kasoling a kippo.,我遺失了搭乘火車的票。
"Ano mililoc kako i, caay ka eca a milikot kako.",我洗澡就一定會洗頭。
Micakay to hara ci ina.,媽媽去買岩鰍魚。
Dotocen ko tayal no to'as iso!,要繼承你先祖的事業！
Papiso'edacen kami to tarawadaw a misalama to nanom.,讓我們在河邊逆流而上玩水。
Pinaay ko widi anini?,現在幾點鐘？
Papina ko tatayni a finawlan?,有幾位族人要來？
Mafana' ciira a mikesip.,他很會吹口哨。
O ado no sapisanga' to 'emo konini.,這個是年糕的模版。
Maparo to i dodang ko kodih noya mapatayay a tamdaw.,死屍已裝在棺木裡。
O malasaikoray a mafekac ci Tomay i piondokayan.,杜邁在運動會時跑最後。
Mipela' ci ina toya sinar.,媽媽剖開那顆西瓜。
Masofoc ciira to focod.,她生下私生子。
Mafihfih no fali ko talip nira.,她的裙子被風擺動。
O maan ta laymay sakiso i takowanan.,是什麼你認定我是多嘴的。
Hitefo aka kasaan I takaraway a 'alaneng.,不要從很高的田埂上跳下。
O lahod ko sakarakat no silamalay itiya ho.,以前的火車是以蒸氣為動力。
Mafiyok no fali ko kafong nira.,他的帽子被風吹掉了。
Mapaloma to hana ko liyok no loma' ako.,我家的周邊都種花。
Pacedien no mita mapolong a mikakoy tona kilang.,我們一起用力抬舉這條木頭。
Molesa'ay to ko kopo nifayi i sapad.,姨媽桌子上的杯子龜裂漏水。
Pakakahaday a papineneng to finawlan.,使部落住民的視野寬廣。
O tadamaanay a kosi ko misa'enoray.,做船錨的公司很了不起。
Ma'anangay to no mako ko hawan i soko.,我已將刀收藏在庫房。
Mipacok ca Sawmah toya nipahafayan naira a fafoy.,掃瑪他們宰殺他們所豢養的豬。
Li'akongen no mako ko marad a misalimolo.,我要使鐵彎曲變成圓型的。
Maropira'ay kina kapah nani katayalan nira tahanini a o epah ko ni'afofoan nira.,直到現在這位年青人抱著酒是因為他從工作的地方失敗了。
O ci'im no mami' kinian.,這是柑桔的嫩芽。
Matalem ko cikaf no foting.,魚的魚鱗很銳力。
Tadafangcal ko folad anini.,今晚的月亮分外美麗。
Pasinofoen ni faki kami to nicacakan nira a hakhak a taloma'.,阿公將他蒸煮的糯米讓我們攜帶回家。
"Makingsa no ising ko tiyad noni wawa, sifasal.",醫生檢查出這小孩的肚子有蛔蟲。
Ilang han to koya panay!,記得要將稻子碾磨哦！
Patodaen ko fanaw no miso.,你的池溏要養鰻魚。
O pakikaemangay ko pikakilac to kasi.,發糖果要從最小的。
Patangasaen i picodadan ko pipadongos.,要送到學校去。
Raod a sato kira waco a mikalat to 'ayam.,那隻狗將要靠近雞來咬。
Liyasen ko namal.,離火遠一點。
Mapaloma^ ko fata'an I taliyok no loma' niyam.,我們家四周種有樹豆。
Kako ko miis^isay to waco a patayni a pakaen.,是我吹口哨叫狗來吃的。
Karatangila kina kodiwis.,這隻兔子耳朵很大。
Mifoyol kira 'alomanay a mi'adopay to fafoy no lotok.,許多獵人將山豬一起推到一個角落。
Mafafalic kita to tayal.,我們互相交換工作。
Pa'alenengen na Mayaw i terong no kakahaday no facal naira.,Mayaw他們在寬大的田畦中設置一條田埂。
Madopoh kora wawa a micodad.,那個小孩很用功讀書。
O picaferan no lafang ko loma' niyam.,我們的家是客人暫歇的地方。
Caay kaifenek ko ma'amitiray a tamdaw a micawaw to loma' nira.,很風騒的人不會專心照顧家人。
O maan ko kakeseman iso?,你為何難過傷心？
Pakisalaen ko nicacakan a sinafel.,煮好的菜放在盤子上。
Hinalasang kako a komaen to epah.,我喝酒很容易酒醉。
Matapa' no fonos ko wa'ay no mako.,我的腳被番刀砍傷。
Tikelo han to kora papa'acaen ita a foting.,要將我們要賣的魚區分一下哦！
O tedi' no maan koriraan?,那是什麼光？
O kolac to nira mato'asay i niyaro.,那位老人家在部落一無所有。
Misaciciway ko to'as no niyam i kaRiponan.,我們的祖先
Imacen ni kaka ako ko waa' no kolong niyam.,我哥哥將我們的牛角削尖。
Aday^ayen ko ising midipot to karetengay ko adada a tamdaw.,醫生很憐憫地照顧病重的人。
O ma'olaway a niyaro' ko Tafalong.,太巴塱是古老的部落。
Sakakaya'en ko pisanga' to talip no mako!,我的裙子做長一點！
O polong no finawlan no niyaro' kinian a tomirengay i matini.,現在站著的全體都是部落居民。
Paceno' han ako ko wa'ay i nanom a mifaca'.,我用腳泡水在水中洗衣服。
Mifafa ci kaka to wawa nira.,姐姐揹她的小孩。
O kohetingay ko fadahong no loma' niyam.,我家的屋頂是黑色的。
lali'op hato naira ko cohel a matayal.,他們工作流汗將汗當成水來洗臉。
Misakalitang ci faki ako i rafar.,我叔叔在山坡地的菜園種植四季豆。
Fihfih han ko wawa.,幫小孩子搖扇。
"Ma'etot ci mama, alalalilaliw san kami a miliyas.",爸爸放屁時，我們紛紛跑開。
'Alaw han no mako cikaka ako to tatayalen i loma'.,在家裡我跟姐姐搶工作做。
O sakatodoh no loma' iso kira misalamaay to ringo a wawa.,那個在玩火爐的孩子將使你的房屋燒掉。
Misafiko ko pilomaloma'.,每一戶都在釀酒。
Lomengaw to ko cengo' no nipalomaan niyam.,我們種的長出嫩芽了。
Panawen no mita a misanga' to kamo no sasekingen no wawa ita.,我們在考試卷加放為什麼讓我們孩子考試。
Mihadi^diay ko singsi a pakafana' i tamiyanan.,老師很有耐心地教導我們。
Wata ko lowi' nora mamatokad a fafoy.,那個要被宰的豬的叫聲真響亮。
O cisolipaay maemin kami.,我們都有穿拖鞋。
Ci mama ko misanga'ay to tatenoonan ni ina.,媽媽的織布機是爸爸做的。
Makadit ko lali'elan no fa'inayan.,男人的衣領很髒。
Paconohen nora mari'angay a tamdaw kako to raraw nira.,那個壞人把他的過錯推卸給我。
Caay kahapinang ko co'ay no 'ada.,敵人的復仇無法認清。
Aka pipacefa a somowal.,不要隨便亂講話。
Dipdipen ko kaitiraan no 'ada!,去探查敵人的住所！
Kalah saan ci ina a micacak to sakalafi niyam.,媽媽急急忙忙地煮我們的晚餐。
Mitopelak kako to totang i fadahong no loma ni faki ako.,我去叔叔家的屋頂剝掉鐵皮。
Mapacamot to kolang kora pisakakorotan amapaloma'.,那個苦瓜園混種著芥菜種植。
O holol aca ko kafana'an nira.,他只知道玩。
Halicakay ciira to fa^lohay a fodoy.,她很喜歡買新衣服。
Papicapo'en to lidateng koya mifariway.,請砍伐者砍掉咬人狗樹。
Mimali kita anini.,我們今天來打球。
Mahenotay ko lalan no sakatalapicodadan i tiya ho.,從前上學的路是泥濘不堪
Tedal hato no miso kira wawa.,你就救那個孩子。
Kahengang ko lodi' no kakarayan i picereman no cidal.,黃昏時刻天空呈現晚霞。
Ma'atal to no mako ko hemay no miso.,你的飯已被我盛的。
Cima koya mici'epay a tamdaw to epah i paetang?,誰在木桶直接用口吸酒？
Pakayakay ko matayalay i sa'owac.,工人在溪上架橋。
Papiselalen no mita ko kapah a wawa no finawlan.,我們要使部落的青年參加年齡階級。
Aso' a kaenen kora mapa'acicimay a kohaw.,那個加了酸的湯真可口。
Macedet no fadisaw ko kamay nira.,他的手被開水燙傷。
Masa'asolo ko pi'ot'ot to sariri.,雕塑柱子像木杵。
O makafafaway a pida ko sapicopo to omah.,建堤的資金是上級政府補助的。
Milepel ko wawa to facacido'.,小孩追逐著蜻蜓。
O macepa'ay no kafi a hemay ko kaolahan no waco a komaen.,狗喜歡吃
Conacon saan ko nanom i pipatikedan no mako.,我釣魚的地方的水被攪動。
"Aka tengilen kora sowal, o likaf aca kora.",不要聽信那個話，那只是個閒言閒語。
Tatahini to ko singsi namo anohoni.,你們的老師待會兒就要到了。
Cilamit i faloco' ako ko sowal no singsi.,老師的話根植在我心中。
Misakoko' ko koko' i kanikaran.,公雞在凌晨啼鳴。
Siwaay ko tefon no Tafalong.,太巴塱有九座井。
Saheto saan o tefo' ko sinafel ita tina cacay a lipay.,這個禮拜我們的菜幾乎都是竹筍。
O malakaemihay ko simal no mita.,我們的油價變成便宜的。
Maherek to kako a malafi.,我吃過晚餐了。
O misafila'ay ko tayal ni fayi ako.,我的舅媽的工作是疊荖葉的。
Liked han no masay ko lalidec.,爬騰將九芎圈住。
O malokafer no wawa ako a micodad.,當做我孩子上學時的褲子。
Kemkem han no mako ko copelakay a 'icep.,我咬了顆苦澀的檳榔。
Miyat saan ko dingki no tamina i riyar to daydaya.,每天晚上海上船隻的燈火閃亮。
Pakamisi'en to terong no dadaya ko wawa iso.,讓你的孩子在深夜起來尿尿。
Adihay ko nina'angan ni Panay a odo'.,Panay收藏很多玉石。
Malafinacadan no Pangcah ko Taywan.,漢人變成原住民的族群。
Rokrok sato ko nanom i dangah no miso.,你鍋子裡的水沸騰了。
Makalisin ko tamdaw i 'ayaw.,以前的人很常祭祀。
Politi han to fokeloh kira 'oner.,用石頭丟那隻蛇。
O pisananiwacan no niyam kiraan a pala.,那塊田地是我們要種植綠豆的地方。
"Ma'opic ko ceris ni mama ako, saka caay ka likat.",我爸爸的打火機濕了，所以點不著。
Pakamaro' ko kapah to mato'say i pisoraratan.,青年讓耆老坐在集會所。
Mifohat to paenan koya wawa.,那小孩在開門。
O miciwiay to kakawaw no niyaro' ko wayway nira.,他的行為是偏離部落的規範。
Di'ien no ina ko dipot nira a padiheko.,媽媽睡在她的嬰孩身旁給他溫暖。
Pakaneneng ko mata no lidep to foting i nanom.,老鷹的眼晴看得到水中的魚。
Makakalat ko waco ato posi.,狗貓互咬。
Kiso ko micawiay to longec no mato'asay i kasa'opoan no niyaro'.,部落聚會所老人的要求要負責回應的是你。
Matawal ako a miala ko epip anini.,孩子們帶笛子上學。
O sakapinaay to a rorok i matini ko parod no mita.,我們現在的家族是第幾世代了。
O mamalacafeng konini a sapad.,這塊木板將要做成牆壁。
O tapang no loma' no mita kinian.,這是我們家族的根源。
Fetik saho kora tangki malasikawasay to ko caciyaw niira.,那位乩童一滴酒敬禮他馬上就神言神語。
Fariw han ni kaka ko semot.,哥哥將草砍掉。
Patarimasa'en ko pilaliwan no nanom i pala.,在田裡要設置引導水流的水溝。
Cidafdafay a mapaloma ko fonga.,地瓜被種在平地。
"Tadafa^det ko romiad, fetak san ko sera.",天氣炎熱使得大地龜裂。
Katalawan ko karacanemay a lalan to dafak.,早晨常常霧氣彌漫的路最可怕。
Matamorak to no niyam i nacila.,昨天我們去採南瓜了。
Talaolat sa ko singsi a maketer i tamiyanan.,老師粗著脖子責罵我們。
I 'a'ayaw no siri a romakat ko pasiriay.,牧羊人走在羊前面。
Tanotopi saan i palapalaan.,田野裡很多鴿子。
O 'acefel no mitodohay to lakaw ko ko mida'atay i tamiyanan.,那燒垃圾的煙使我們嗆住。
Patatootooden ni ina ko sona nira a paliloc.,媽媽讓她的孫子一個接著一個洗澡。
Caay ka o halifotingay kami mapolong.,我們全部不喜歡吃魚。
Adapaw saan kira 'oner a mitala to fitakola.,蛇在埋伏等青蛙。
Mala'afas caira tatosa to mali.,他們兩人互相爭球。
Halilingkiw ciira.,他很愛吃辣椒。
Ma'atiliec no Aycipot ko finawlan no Iserail.,以色列百姓被埃及人虐待。
O malacingkiay caira a tatosa.,他們兩個是親家關係。
A modac ko wa'ay no mako to kasienawan.,我的腳冬天會蛻皮。
Aoto' ko pasela' nira.,他很容易生氣。(字面義：他的氣很短。)
O ma'akonalay cafaki ako a malekaka.,我舅舅的兄弟們都是禿髮的。
Pa'adiyocen no kawas ko pitena' to pi'ada'ada.,神用漩風阻擋所有的敵人。
Malalok a minanam kako to sowal no Pangcah.,我很勤勞地練習阿美語。
Micacak to titi no fafoy a misasimal.,煮豬肉來製造油。
Misafalinono ci ina ako.,我媽媽製作蔴糬（糍粑）。
O mipaypayay ko loma' no mako.,我的家是拜拜的。
Pakakowad to tilifi kora wawa.,那個小孩抬得動電視。
Rimadac saan ko lalan ita i noetipan a lotok.,在西邊山上我們的路很平滑。
A no cai ka nga'ay ko kalaholol no mita o eked ko paherekan.,我們若沒有好的交往只好以分離來結束。
Likaten ko losok ano awa dingki.,没電時請點亮蠟燭。
Folod san ci Tomay to nafaloco'an ni mama nira.,Tomay順著他爸爸的意思行動。
Oya ciadipelay ko loma' niyam.,我們家是那間有圍牆的。
O makakaenay to kaedahay ko Pangcah.,原住民很能吃辣的。
Mala'ada ko widang.,朋友變成敵人。
O tenas ko pitenasan naira to da'eci.,他們沾鹽水吃箭荀。
Cecay a lafin kako i tira.,我在那裡過一夜。
I lotok ko pimangcelan ni akong.,外公在山上獵到羌。
Papikomimiten nira kako to tangila no miso.,他要我擰捏你的耳朵。
"O micolalay kako a taloma', o nokay ako a masasiyor ano honi.",我突然出現但一會兒我也要回去。
Mapakaso to kiraan a kalong.,那瓦斯桶已被充滿瓦斯了。
Maolah ko Pangcah a misaniyaro' i lawac no riyar.,阿美族人喜歡在沿海一帶形成聚落。
Tata'ak ko cawang no hakama nora fafahiyan.,那位女士的裙子開叉開得很高。
O pinganganan no mako ko ngangan ni faki ako.,我的名字是根據叔叔的名字命名。
Misakaciw ci faki i palapalaan.,伯父在田裡養鵝。
O ni'owidan no mako kira fokeloh a mipasadak.,那顆石頭是我用鐵槓挖出來的。
Malisawot kita i loma' no singsi.,我們在老師家集合。
"Kohecal sa ko pising iso, adadaay kiso haw?",你的臉色很蒼白，你生病了是嗎？
Papirangien kami a miconga.,讓我們畫得很相似。
O ni'edawan ko sakalingad naira a mi'adop.,他們是依據占卜結果出門打獵。
Cimangta' han naira koma'en ko 'atay no fafoy toya pitokadan.,他們殺豬時將豬肝生吃。
Rakam sato kako a cay kananam a mihadasi.,我己經不習慣赤足了。
Talafitoka ko sa'ayaway a nikaenan no mita.,我們吃的食物先到胃裏頭。
Mi'icepay kira lotong.,那隻猴子吃檳榔。
Ma'anglis to kora foting.,那條魚已經不新鮮了。
Cikapatay ko wawa no mita a taloma'.,我們的孩子有同伴回家。
"Namatefad i tepad kira mato'asay i, o lefot no sasela'an itiyato.",自那老人家從懸崖掉下來當場就斷氣了。
Lahedaw sanay ko paso iso to pikakaenan to epah.,你的錢都花在酒上
Masofoc to fa'inayan ci Piyaw.,比耀生下男孩。
Awaay ko rinom i parinoman.,針線包裏根本就没有針。
"Celak han no mako koya linay, macicihay aca.",我撐開那支雨傘，原來是破的。
Aro' saan koya singsi a pasifana'.,那位老師坐著教學。
O sapaloma no kowa' konini.,這是木瓜的種子。
"Sidsid san ko panay naipawti, caacaay ka fana ciira.",稻子從麻布袋
Mifaca' to fodoy ko fayifayian i tarawadaw.,嬸嬸們在河川邊洗衣服。
Mieli' ko sakatolo a komi anohoni.,待會由第三組來割茅草。
Mila^dis kita i kalitosa no lima a folad.,我們在五月中舉行捕魚祭。
Kaeso'ay ko nitangtangan ni ina.,媽媽煮的菜真好吃。
Cima ko siimpicay?,誰有帶鉛筆？
Aka paladafdaf to mari'ri'ay a pala.,不要把會崩落的田當平地。
"Macepet ako ko kiro, ta mipawali i potal.",我將酸菜扭乾才拿去曬。
Papiringeren to kikay kira wawa.,讓那個孩子旋轉機器。
O maedengay saan cima?,誰認為足夠呢？
Hacok han ni Panay nani caykeng pataladangah.,Panay從水缸舀水倒在圓鍋中。
O mami'aca to loma' ko sakaifenek nira.,他努力工作不間斷的原因是想要買房子。
Pacafayen ko wawa no mako a talaTaypak!,請陪伴我的孩子去台北。
Mifitelak to fitaol ko ciwciw.,小雞破殼而出。
Pasararem ko 'alol no tamina.,船向下游流走。
Sorar han to no mako ko nika cay katatodong no miso.,我就原諒你的不是。
I koyomien a mitilid ko fangko no tingwa nira!,把他的電話號碼寫在日暦上！
O 'amelikay ko kalotayal nonian a kaying a miherek.,這個小姐的任何工作都
"Maleflef ko lalan, likaten ko dawdaw no tosiya!",路上都是霧，請將車燈
"Namafaliyos i, o dicadic to no omah ako.",自從颱風之後，我的田就成了水鄉澤國。
Limelaen ko 'orip no miso.,要珍惜你的生命。
O hinac niyam a mi'adop i nowalian a lotok.,我們在東邊的山打獵一無所獲。
Mipakitoh ci akong to sona nira.,阿公說故事給他的孫子聽。
Masadak ko rarikah to kafaedetan a romi'ad.,蜈蚣會在很熱的天氣出沒。
O 'awol ko liyok no loma'.,我們家四周是竹子。
Pacofayan no mako ko codad ni Saomah.,我歸還了Saomah的書。
"Milonok a dademak ko nga'ay, talaen ho cima.",與其等人來幫忙不如自動自發地來做的好。
Madayom iso han a mikakoy kora sapad?,你能搬得動那張桌子嗎？
I cowa kira cariwciway a soni.,那個吱吱喳喳叫的聲音在那裡。
'inorong patala'afala ni Kacaw.,那個人扶持把重擔抬到Kacaw的肩上。
Talaloma' no kapot kako a miholol.,我到同學家玩耍。
Ocong ko lotong i lotolotokan.,森林有很多猴子。
Misikeliw ko fafahiyan i pipacarcaran to tayal a misaomah.,婦女們在農閒之際製剝麻繩皮。
O pakaeso'ay to sinafel ko cilah.,鹽巴是會讓菜好吃的。
O sotasota'an ko nowalian no tarawadaw.,河的東岸都是泥土地。
matateki' kora talid saka ma'ari.,那些瓶子因碰撞而破裂。
Mikiyot ciira to 'apol i tangtang.,他在石灰盒裏挖石灰。
Malecad a masariwang ko pisanga.,建造的房間都一樣。
O maan ko sowal no malitengay ita?,我們的老人家說什麼？
Misaciciw ko fiyaw no niyam.,我們的鄰居養小豬。
Makakoring koni wawa.,這小孩屁股很大。
Maitoh ko panay.,稻子熟透了。
O asip ato radiw ko ninanaman niyam i dadaya.,我們昨晚所學的是朗讀和唱歌。
O rapic niyam kira pipakaen to fafoy to romi'ami'ad.,每天養豬連累我們。
Tadamakalim ciira to sapidafo a makakiing.,他躍躍欲試去競選議員。
Limek sa ho kiso i kafoti'an ano tayni cira.,如果他來時你就先躲到房間。
Mari'an kira tawki saka o sawad niyam a matayal i Taypak.,那位老板很壞所以我們立即放棄台北的工作。
Matokatoka ko wawa nora tamdaw.,那個人的小孩個個都很懶惰。
O lalok no mako a micodad ko sakalatayring ako.,我努力讀書使自已當上警察。
Rarid sanay kako a matira haw?,我經常那樣嗎？
O to'as ita ko nimatangay tonini a omah itiya ho!,很久以前這塊田的開墾者是我們祖先。
O wawa iso ko mirasrasay tira naniwac i sefi.,是你的孩子在廚房將綠豆撒落一地。
Awa ko kihar no wawa han?,小孩子没有煩惱嗎？
Masarayarayay to kira 'awol a masanga' no kapah.,青年人已經將竹子製作成橋。
"Piko'en to mamang i terong no keliw, a pasakawili.",中間的線向左邊彎一點。
Ma'alopalay to no niyam kinian a pala.,這塊田園的杮子我們已經採收了。
Aka kapawan to nitolonan no ina!,不要忘記媽媽的叮嚀！
O mapato'ayaay to niyam i honi to epah ko mato'asay.,剛剛我們已經將酒獻祭給祖先。
O soemetay ko romi'ad anini.,今天的天氣很潮溼。
Madakaway niyam ko saikoray a paso.,我們有搭到最後一班公車。
Cikalapiyat ko kakarayan i no walian.,在東方的天際有閃電。
O fila' ato 'icep ko paro no 'alofo no mato'asay i tiya ho.,從前老人家的背袋裏裝的是檳榔和荖葉。
O tomok kora pakongkoay.,那位講故事的人是頭目。
Pafidangen a maemin ko mitanamay a komaen to wirok.,要給柚果之一瓣來試吃柚子。
"“Ati, malahok to kita” saan ci ina to widang no mako.",媽媽對我的朋友說：「來，我們吃午餐」。
Pararikahen no mato'asay ko epah a misengel.,老人家在酒裡裝蜈蚣來泡。
han to ko ngisngis iso haw!,早晨記得刮你的鬍子！
Palakakeridan i takowanan ko finawlan.,部落住民推我當領袖。
O midimokosay no mama ako ciira.,她是我爸爸的看顧者。
Fo'oten ni kaka ci Mayaw a malafi i loma'.,姐姐留住Mayaw在家吃晚餐。
Mi'ading koya tawinaan to ciwciw.,那隻母雞保護小雞。
Maolah a mihimed to kakaenen kora wawa.,那個小孩喜歡將食物隱藏起來。
Mitiwas ca Panay to sinar naira.,巴奈她們摘取她們家的西瓜。
Mianako' ci Osay to picocok no ising i kamay nira.,醫生在伍賽手上打針時發出疼痛的呻吟。
Caay pakaala kako tora i fafaeday a safon.,我拿不到那上面的香皂。
Si'atongolay kira nito'to'an nira a kilang.,他雕的木頭是有凸出的。
Pakakolacen nira mato'asay ko wawa nira.,那位老人家使他的孩子一無所有。
Kapahay ko nikimadan no miso.,你的演說很棒。
Maolah ko kapakapah a masasipatelaw.,年青人很喜歡互比肌力。
Paco'ongay to kora hana no mita.,我們的花都長新芽了。
Ocong ko lokot o nipalomaan no niyam i pala.,我們在田裡種了很多的山蘇。
Farasi' han ni faki to epah kami a milaplap to tatiihay.,舅舅對我用口噴酒以驅除邪氣。
Tata'ang ko paenan no loma' namo.,你們家的門好大。
Caay kaala a faca'en ko cica' no kilang i fodoy.,衣服上的樹脂不容易洗乾淨。
Mafafelih ko pipateli no miso to tilid.,你把書放顛倒了。
O mipacomoday i takowanan a pakatayal ciira.,他是讓我進去工作的人。
Kamec aka han ko kamay nira wawa.,那孩子的手不要握太緊。
O citadahay ko papinapina i takowan.,有幾個人有欠我債的。
"Cedam san ko kafi no dongec, pesi'en to 'atikiway.",藤心湯摻入小辣椒味佳無比。
Hodocen ako ko fonos nani cofel.,我把刀拔出鞘。
Padaydamen ko pikeling to katacomoli.,炒蝸牛要加辣椒。
O mipa'afatay i pipasirian ci faki ako.,我的叔叔送乾草去羊舍。
"Kalahokan to, sapipaosaan kako to hakhak tora malapaliway.",中午了，我很想送糯米飯給換工的伙伴。
Manengneng no mako ko pipalo no miso to wawa.,你打小孩被我看見。
Milaheci kako to picodad i Tasiy.,我一定要完成大學教育。
"Cacay lipay , pitoay ko romi'ad.",一個禮拜有七天。
Midahecong ko cecay a wa'ay ako i faedetay a nanom.,我另外一隻腳浸入熱水中。
Losimeten ni ina ko sakalingad ni mama a matayal.,媽媽整理備妥爸爸上工要用的工具。
O kolismas no niyaro'.,部落的聖誕節。
Mikiyafes a miemin ko pakaenay to kolong.,所有放牛的都採番石榴。
Karatomay ko lotok no pasaetip.,西邊的山很多熊。
A cima to to rocok ninian a ngasaw.,這個氏族會有誰來繼承。
O miki'eciway i pilisinan ciira.,他是豐年祭時的領唱者。
Sa'afesa'en ko sikaen no adadaay a tamdaw.,病人吃的東西要淡而無味。
O patiyamay to towami ko ina ako.,我的媽媽是開店賣麵的。
Cecay aca ko piala ni Osay to tomorak.,Osay只拿一粒南瓜。
Maleneng ko tamina noya mifotingay i riyar.,那艘漁船沉没大海中。
Hetec han to ko nanom nira kiro.,將酸菜的水瀝乾。
O micacakay to hemay kako i sefi.,我正在廚房煮飯。
O cirot ko misatikolacay a masoni i honi.,剛才發出竹雞聲的是赤背伯勞鳥。
O mironiay ci ina ako i pala.,我媽媽去田裡採絲瓜。
Halhalen naira kami a misalafang to tolo a romi'ad.,他們接待我們三天。
Mapacedi tato ko picokeroh no miso.,你推的太用力了。
Hinafadi' ko nipalomaan no mako.,我所種植的很容易枯萎。
Papisacawka i tamiyanan o kapah kira loma'.,那一家叫我們年青人為他們造廚房。
amoto misapotal.,攪拌沙子和水泥鋪成曬穀場。
Tosaay ko pacek i taya no otofay ako.,我的摩托車輪胎有二個釘子。
I tiraw ko picodadan niyam i nowalian.,我們的學校在東邊的地方。
Mikadom ko pi'ada'ada to ilisin no mita a lipahak.,其他諸部落參與我們的豐年祭分享快樂。
O pipato'ayaan to to'as anini.,今天是祭祖的日子。
